lottery,game,draw_date,winning,machine
ghana,Monday Special,2026-03-30,80-23-66-12-34,36-20-33-43-84
ghana,Monday Special,2026-04-13,52-01-26-66-72,81-38-56-41-80
ghana,Monday Special,2026-04-20,13-04-28-27-51,79-75-62-33-43
ghana,Monday Special,2026-04-27,69-74-01-31-02,50-54-40-43-79
ghana,Monday Special,2026-05-04,68-14-37-78-10,02-36-48-31-43
ghana,Monday Special,2026-05-11,50-86-01-33-56,75-30-62-73-31
ghana,Monday Special,2026-05-18,87-90-19-15-18,77-27-57-13-70
ghana,Monday Special,2026-05-25,86-04-24-32-60,27-22-20-79-69
ghana,Monday Special,2026-06-01,55-24-41-87-21,76-85-42-32-80
ghana,Monday Special,2026-06-08,14-24-53-65-12,27-62-75-39-16
ghana,Monday Special,2026-06-15,89-27-51-70-83,82-31-62-19-25
ghana,Monday Special,2026-06-22,43-32-45-77-11,85-14-13-29-40
ghana,Monday Special,2026-06-29,25-20-46-09-76,10-31-40-75-01
ghana,Monday Special,2026-07-06,06-81-44-67-73,20-61-12-70-58
ghana,Monday Special,2026-07-13,21-11-74-06-39,45-83-38-27-80
ghana,Monday Special,2026-07-20,57-06-86-42-07,08-54-48-68-40
ghana,Monday Special,2026-07-27,10-15-27-47-36,24-25-40-72-55
ghana,Monday Special,2026-08-03,29-37-66-21-72,79-46-17-54-31
ghana,Monday Special,2026-08-10,42-24-33-21-62,31-75-86-70-84
ghana,Monday Special,2026-08-17,36-50-57-42-61,82-01-33-19-07
ghana,Monday Special,2026-08-24,17-47-03-21-20,42-62-73-88-18
ghana,Monday Special,2026-08-31,06-58-62-04-20,74-53-55-39-79
